Policy,Raw Cost (£),Adjusted Cost (£),Import (kWh),Export (kWh),Battery Charge (kWh),Battery Discharge (kWh),End SOC Change (kWh),PV Self-Consumption Ratio,Grid Dependency Ratio
P1: Self-Consumption,28.35792757308816,28.68975729531038,296.412125875,240.3209932132964,134.15520678670362,122.975074125,-2.0,0.7041921369330488,0.34573720880063497
P2: Tariff-Aware,33.99548061738532,33.73623864689921,404.646902625,344.2099425207756,144.0162574792244,128.490297375,1.5625,0.5763166330912316,0.47198302110753626
P3: Optimisation (LP),26.440662885665688,26.440662885665688,302.23347774632805,239.91007952943608,178.58869966043102,161.17630144353902,0.0,0.7046979250337988,0.35252727496779324
